musique intrumentale ou avec parole,support écouté,station radio,genre musicale,période musicale,langue écouté,type de parole,frequence ecouté artiste émergent,tempo,fréquence en travaillant,fréquence en sport,fréquence en cuisine,fréquence en transport,fréquence en passant le temps,fréquence écoute mensuel,fréquence écoute journalier,genre,age,environnement,situation professionnel
avec des paroles,plateforme de streaming;radio;cd;dvd;vinyles,nrj;skyrock;m radio,rap;jazz;pop;electro;musique classique,années 2020;années 2010;années 2000;années 90;années 70 - 90,francophone,peut importe,5,150.0,3,5,4,5,4,1,2,homme,19.0,campagne,étudiant
les deux,plateforme de streaming,skyrock;fun radio,variété française,années 50 - 70,francophone,engagées,2,120.0,4,2,1,2,1,1,2,homme,24.0,ville,salarié
les deux,plateforme de streaming;cd;dvd;vinyles,,pas de préférences,pas de préférence,anglophone,peu importe,2,,5,5,3,5,5,1,1,homme,20.0,campagne,étudiant
les deux,plateforme de streaming;radio;cd;dvd;vinyles,rtl;nrj;skyrock;fun radio,rap;electro,années 2020,francophone,poétiques,2,150.0,3,2,3,5,3,1,2,homme,19.0,ville,étudiant
avec des paroles,plateforme de streaming,rtl;nrj;skyrock;fun radio,rock;rap;pop,je ne sais pas,francophone;anglophone,poétiques,5,120.0,2,4,3,5,3,2,3,femme,20.0,campagne,étudiant
les deux,plateforme de streaming,,rap;pop;musique classique,années 2010;années 2000;années 90;années 70 - 90,francophone;anglophone,peu importe,3,150.0,5,5,3,5,5,1,1,homme,20.0,ville,étudiant
avec des paroles,plateforme de streaming;cd;dvd;vinyles,,rock;rap;pop;electro,pas de préférence,francophone;anglophone;hispanique;asiatique,peu importe,2,,4,4,4,5,3,1,2,femme,20.0,ville,étudiant
instrumentaux,plateforme de streaming;cd;dvd;vinyles,rtl;fun radio,rock;rap;jazz;pop;electro,années 2020;années 2010,francophone;anglophone,poétiques,3,150.0,4,5,3,5,3,1,1,homme,20.0,campagne,étudiant
les deux,plateforme de streaming,,rap;pop,années 2010;années 90,francophone;anglophone;asiatique,poétiques,2,120.0,4,5,5,5,2,1,1,homme,,banlieue,sans emploi
les deux,plateforme de streaming,skyrock;nostalgie,electro,années 2020;années 70 - 90,francophone;anglophone;asiatique;brésilienne,poétiques,2,180.0,5,5,1,5,4,1,1,homme,19.0,campagne,étudiant
avec des paroles,plateforme de streaming;radio,skyrock;nostalgie;jazz,rock;rap;jazz;musique classique,années 2020;années 2010;années 2000,francophone;anglophone,poétiques,3,,3,4,5,3,4,2,2,homme,19.0,ville,étudiant
les deux,plateforme de streaming,,rock;rap;electro,pas de préférence,anglophone,peu importe,3,180.0,5,4,3,5,3,1,2,homme,19.0,campagne,étudiant
les deux,plateforme de streaming;cd;dvd;vinyles,radio jazz,pas de préférences;je ne peux pas me satisfaire d’un seul style goût trop varié,pas de préférence,francophone;anglophone,engagées,4,120.0,2,5,2,4,1,1,2,homme,19.0,campagne,étudiant
les deux,plateforme de streaming,,rock;pop,années 2000;années 90;années 70 - 90,francophone;anglophone,peu importe,3,,4,4,2,5,3,1,2,femme,17.0,ville,étudiant
les deux,plateforme de streaming,sweet fm,pas de préférences,années 2020;années 2010;années 2000;années 50 - 70,francophone;anglophone,poétiques,5,90.0,1,5,5,5,5,1,1,homme,21.0,ville,salarié
les deux,plateforme de streaming;cd;dvd;vinyles,,rock;electro,années 2010;années 2000;années 90;années 70 - 90,anglophone,peu importe,4,120.0,3,4,3,5,5,1,2,homme,20.0,banlieue,autre;je ne souhaite pas répondre
instrumentaux,plateforme de streaming;radio,nrj;fun radio,pop;electro,années 2010;années 2000;années 70 - 90,anglophone,peu importe,2,150.0,1,2,1,2,3,1,3,homme,20.0,ville,étudiant
les deux,plateforme de streaming,nrj;nostalgie,pop,années 2010;années 2000,francophone;anglophone,peu importe,2,120.0,5,5,3,5,2,1,1,homme,20.0,campagne,étudiant
les deux,plateforme de streaming,,uptempo,je ne sais pas,anglophone;il y a pas trop de paroles,sans parole,1,180.0,4,5,3,5,4,1,2,homme,20.0,campagne,étudiant
les deux,plateforme de streaming;radio,nrj;fun radio;europe 2,rock;rap;jazz;pop;electro;musique classique,années 2020;années 2010;années 2000;années 70 - 90,francophone;anglophone,peu importe,4,150.0,3,4,1,4,4,1,2,homme,21.0,campagne,étudiant
avec des paroles,plateforme de streaming;radio,rtl;m radio,rock;pop,pas de préférence,francophone;anglophone,peu importe,1,120.0,1,3,5,5,5,1,1,femme,53.0,campagne,salarié
avec des paroles,plateforme de streaming,,rap;pop;drum and bass;house,pas de préférence,francophone;anglophone;hispanique,peu importe,4,120.0,2,4,5,5,4,1,2,homme,20.0,banlieue,étudiant
avec des paroles,plateforme de streaming,skyrock,rap,années 2020,francophone;anglophone,peu importe,4,150.0,5,5,5,5,5,1,1,homme,20.0,ville,étudiant
